InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,22632,HAND WARMER RED POLKA DOT,4,2011-01-27 08:47:00,1.96,14599,United Kingdom
536365,22196,SMALL HEART MEASURING SPOONS,2,2011-01-27 08:47:00,0.82,14599,United Kingdom
536365,71053,WHITE METAL LANTERN,1,2011-01-27 08:47:00,3.27,14599,United Kingdom
536365,22423,REGENCY CAKESTAND 3 TIER,1,2011-01-27 08:47:00,12.16,14599,United Kingdom
536365,22196,SMALL HEART MEASURING SPOONS,2,2011-01-27 08:47:00,0.86,14599,United Kingdom
536365,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-01-27 08:47:00,5.3,14599,United Kingdom
536365,47566,PARTY BUNTING,2,2011-01-27 08:47:00,5.22,14599,United Kingdom
536365,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-27 08:47:00,1.66,14599,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-01-27 08:47:00,4.1,14599,United Kingdom
536365,48187,DOORMAT FAIRY CAKE,6,2011-01-27 08:47:00,7.37,14599,United Kingdom
536365,23200,JUMBO BAG VINTAGE RED PAISLEY,48,2011-01-27 08:47:00,2.01,14599,United Kingdom
536366,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-04-30 17:56:00,3.24,15308,United Kingdom
536366,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,2011-04-30 17:56:00,10.92,15308,United Kingdom
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-04-30 17:56:00,4.28,15308,United Kingdom
536366,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2011-04-30 17:56:00,6.58,15308,United Kingdom
536366,22623,BOX OF VINTAGE JIGSAW BLOCKS,4,2011-04-30 17:56:00,5.22,15308,United Kingdom
536366,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-04-30 17:56:00,3.53,15308,United Kingdom
536366,22310,IVORY KNITTED MUG COSY,2,2011-04-30 17:56:00,1.61,15308,United Kingdom
536366,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-04-30 17:56:00,2.9,15308,United Kingdom
536366,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-04-30 17:56:00,3.34,15308,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,2,2011-01-03 11:58:00,5.84,16992,France
536367,23200,JUMBO BAG VINTAGE RED PAISLEY,1,2011-01-03 11:58:00,1.89,16992,France
536367,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-01-03 11:58:00,3.04,16992,France
536367,22617,SET OF 6 WOODLAND NAPKINS,2,2011-01-03 11:58:00,3.66,16992,France
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-01-03 11:58:00,4.12,16992,France
536368,22617,SET OF 6 WOODLAND NAPKINS,2,2010-12-25 09:09:00,3.5,17486,United Kingdom
536368,22423,REGENCY CAKESTAND 3 TIER,3,2010-12-25 09:09:00,14.02,17486,United Kingdom
536368,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-12-25 09:09:00,3.18,17486,United Kingdom
