InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month,Year,DayOfWeek
536365,22632,HAND WARMER RED POLKA DOT,4,2011-01-27 08:47:00,1.96,14599,United Kingdom,7.84,2011-01,2011,Thursday
536365,22196,SMALL HEART MEASURING SPOONS,2,2011-01-27 08:47:00,0.82,14599,United Kingdom,1.64,2011-01,2011,Thursday
536365,71053,WHITE METAL LANTERN,1,2011-01-27 08:47:00,3.27,14599,United Kingdom,3.27,2011-01,2011,Thursday
536365,22423,REGENCY CAKESTAND 3 TIER,1,2011-01-27 08:47:00,12.16,14599,United Kingdom,12.16,2011-01,2011,Thursday
536365,22196,SMALL HEART MEASURING SPOONS,2,2011-01-27 08:47:00,0.86,14599,United Kingdom,1.72,2011-01,2011,Thursday
536365,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2011-01-27 08:47:00,5.3,14599,United Kingdom,5.3,2011-01,2011,Thursday
536365,47566,PARTY BUNTING,2,2011-01-27 08:47:00,5.22,14599,United Kingdom,10.44,2011-01,2011,Thursday
536365,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-27 08:47:00,1.66,14599,United Kingdom,9.96,2011-01,2011,Thursday
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-01-27 08:47:00,4.1,14599,United Kingdom,4.1,2011-01,2011,Thursday
536365,48187,DOORMAT FAIRY CAKE,6,2011-01-27 08:47:00,7.37,14599,United Kingdom,44.22,2011-01,2011,Thursday
536365,23200,JUMBO BAG VINTAGE RED PAISLEY,48,2011-01-27 08:47:00,2.01,14599,United Kingdom,96.48,2011-01,2011,Thursday
536366,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-04-30 17:56:00,3.24,15308,United Kingdom,3.24,2011-04,2011,Saturday
536366,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,2011-04-30 17:56:00,10.92,15308,United Kingdom,131.04,2011-04,2011,Saturday
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-04-30 17:56:00,4.28,15308,United Kingdom,8.56,2011-04,2011,Saturday
536366,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2011-04-30 17:56:00,6.58,15308,United Kingdom,13.16,2011-04,2011,Saturday
536366,22623,BOX OF VINTAGE JIGSAW BLOCKS,4,2011-04-30 17:56:00,5.22,15308,United Kingdom,20.88,2011-04,2011,Saturday
536366,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-04-30 17:56:00,3.53,15308,United Kingdom,3.53,2011-04,2011,Saturday
536366,22310,IVORY KNITTED MUG COSY,2,2011-04-30 17:56:00,1.61,15308,United Kingdom,3.22,2011-04,2011,Saturday
536366,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-04-30 17:56:00,2.9,15308,United Kingdom,5.8,2011-04,2011,Saturday
536366,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-04-30 17:56:00,3.34,15308,United Kingdom,3.34,2011-04,2011,Saturday
536367,21755,LOVE BUILDING BLOCK WORD,2,2011-01-03 11:58:00,5.84,16992,France,11.68,2011-01,2011,Monday
536367,23200,JUMBO BAG VINTAGE RED PAISLEY,1,2011-01-03 11:58:00,1.89,16992,France,1.89,2011-01,2011,Monday
536367,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-01-03 11:58:00,3.04,16992,France,12.16,2011-01,2011,Monday
536367,22617,SET OF 6 WOODLAND NAPKINS,2,2011-01-03 11:58:00,3.66,16992,France,7.32,2011-01,2011,Monday
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-01-03 11:58:00,4.12,16992,France,4.12,2011-01,2011,Monday
536368,22617,SET OF 6 WOODLAND NAPKINS,2,2010-12-25 09:09:00,3.5,17486,United Kingdom,7.0,2010-12,2010,Saturday
536368,22423,REGENCY CAKESTAND 3 TIER,3,2010-12-25 09:09:00,14.02,17486,United Kingdom,42.06,2010-12,2010,Saturday
536368,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-12-25 09:09:00,3.18,17486,United Kingdom,3.18,2010-12,2010,Saturday
536368,22633,HAND WARMER UNION JACK,3,2010-12-25 09:09:00,1.95,17486,United Kingdom,5.85,2010-12,2010,Saturday
536368,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,2010-12-25 09:09:00,5.27,17486,United Kingdom,10.54,2010-12,2010,Saturday
536368,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-25 09:09:00,10.1,17486,United Kingdom,20.2,2010-12,2010,Saturday
536368,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-25 09:09:00,4.66,17486,United Kingdom,27.96,2010-12,2010,Saturday
536368,22356,CHARLOTTE BAG SUKI DESIGN,12,2010-12-25 09:09:00,1.79,17486,United Kingdom,21.48,2010-12,2010,Saturday
536368,21754,HOME BUILDING BLOCK WORD,3,2010-12-25 09:09:00,6.4,17486,United Kingdom,19.2,2010-12,2010,Saturday
536368,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-25 09:09:00,2.04,17486,United Kingdom,12.24,2010-12,2010,Saturday
536368,22196,SMALL HEART MEASURING SPOONS,24,2010-12-25 09:09:00,0.93,17486,United Kingdom,22.32,2010-12,2010,Saturday
536368,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-25 09:09:00,2.65,17486,United Kingdom,5.3,2010-12,2010,Saturday
536368,22633,HAND WARMER UNION JACK,12,2010-12-25 09:09:00,2.02,17486,United Kingdom,24.24,2010-12,2010,Saturday
536369,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-04-02 08:15:00,8.11,16993,Netherlands,48.66,2011-04,2011,Saturday
536369,22196,SMALL HEART MEASURING SPOONS,1,2011-04-02 08:15:00,0.91,16993,Netherlands,0.91,2011-04,2011,Saturday
536369,23203,JUMBO BAG BAROQUE BLACK WHITE,1,2011-04-02 08:15:00,2.13,16993,Netherlands,2.13,2011-04,2011,Saturday
536369,22195,LARGE HEART MEASURING SPOONS,2,2011-04-02 08:15:00,1.35,16993,Netherlands,2.7,2011-04,2011,Saturday
536369,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-04-02 08:15:00,2.29,16993,Netherlands,13.74,2011-04,2011,Saturday
536370,22195,LARGE HEART MEASURING SPOONS,1,2011-05-09 14:42:00,1.27,17669,United Kingdom,1.27,2011-05,2011,Monday
536370,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-05-09 14:42:00,3.39,17669,United Kingdom,10.17,2011-05,2011,Monday
536370,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-05-09 14:42:00,3.89,17669,United Kingdom,3.89,2011-05,2011,Monday
536370,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-05-09 14:42:00,3.34,17669,United Kingdom,40.08,2011-05,2011,Monday
536370,21777,RECIPE BOX WITH METAL HEART,1,2011-05-09 14:42:00,7.64,17669,United Kingdom,7.64,2011-05,2011,Monday
536370,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-05-09 14:42:00,2.06,17669,United Kingdom,2.06,2011-05,2011,Monday
536370,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2011-05-09 14:42:00,3.06,17669,United Kingdom,3.06,2011-05,2011,Monday
536370,23203,JUMBO BAG BAROQUE BLACK WHITE,1,2011-05-09 14:42:00,2.09,17669,United Kingdom,2.09,2011-05,2011,Monday
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-05-09 14:42:00,4.46,17669,United Kingdom,8.92,2011-05,2011,Monday
536370,22616,SET OF 6 WOODLAND PAPER CUPS,4,2011-05-09 14:42:00,3.44,17669,United Kingdom,13.76,2011-05,2011,Monday
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-05-09 14:42:00,4.08,17669,United Kingdom,16.32,2011-05,2011,Monday
536370,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-05-09 14:42:00,4.2,17669,United Kingdom,4.2,2011-05,2011,Monday
536371,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-04 12:29:00,3.45,14392,France,41.4,2011-03,2011,Friday
536371,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-03-04 12:29:00,2.85,14392,France,11.4,2011-03,2011,Friday
536371,22196,SMALL HEART MEASURING SPOONS,24,2011-03-04 12:29:00,0.91,14392,France,21.84,2011-03,2011,Friday
536371,22310,IVORY KNITTED MUG COSY,2,2011-03-04 12:29:00,1.61,14392,France,3.22,2011-03,2011,Friday
536371,22748,POPPY'S PLAYHOUSE KITCHEN,12,2011-03-04 12:29:00,2.27,14392,France,27.24,2011-03,2011,Friday
536371,47566,PARTY BUNTING,48,2011-03-04 12:29:00,4.98,14392,France,239.04,2011-03,2011,Friday
536371,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2011-03-04 12:29:00,4.63,14392,France,27.78,2011-03,2011,Friday
536372,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-11 15:09:00,3.52,13901,United Kingdom,10.56,2011-09,2011,Sunday
